Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","CARD","562.102028","Escherichia coli Map_203_002","fig|562.102028.peg.3086",,,"YP_491362.1","Escherichia coli str. K-12 substr. W3110","folP","Dihydropteroate synthase (EC 2.5.1.15)",,"antibiotic resistant gene variant or mutant,sulfonamide resistance gene",,,,100,100,100,"1e-158"
"BLAT","Antibiotic Resistance","CARD","562.100027","Escherichia coli 23b5be5c-7bb9-11e9-a8d3-68b59976a384","fig|562.100027.peg.4751",,,"AAL59753.1","Vibrio cholerae","sul2","Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein",,"",,"sulfadiazine;sulfadimidine;sulfadoxine;sulfamethoxazole;sulfisoxazole;sulfacetamide;mafenide;sulfasalazine;sulfamethizole",,100,100,100,"1e-148"
"BLAT","Antibiotic Resistance","CARD","562.100019","Escherichia coli 8b3954a4-7bb8-11e9-a8d3-68b59976a384","fig|562.100019.peg.5128",,,"AAA50993.1","Escherichia coli",,"Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,11,100,100,"8e-19"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102081","Escherichia coli Map_123_005","fig|562.102081.peg.3021",,,,,"TolC/OpmH","Outer membrane channel TolC (OpmH)","Outer membrane channel TolC (OpmH)","efflux pump conferring antibiotic resistance","Penams, Cephamycins, Cephalosporins, Monobactams, Tetracyclines, Rifamycins, Phenicol antibiotics, Aminocoumarin antibiotics, Glycylcyclines, Fluoroquinolones Quinolones Quinolines, Triclosan, Macrolides, Glycylcyclines",,"6219270",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99901","Escherichia coli ae991c80-7bb9-11e9-a8d3-68b59976a384","fig|562.99901.peg.4200",,,,,"inhA, fabI","Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)","Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)","antibiotic target in susceptible species","Isoniazid, Ethionamide, Triclosan","isoniazid;ethionamide;triclosan","18193820;10869170;8284673",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102315","Escherichia coli JNE191031","fig|562.102315.peg.2378",,,,,"folA, Dfr","Dihydrofolate reductase (EC 1.5.1.3)","Dihydrofolate reductase (EC 1.5.1.3)","antibiotic target in susceptible species","Diaminopyrimidines","trimethoprim;brodimoprim;tetroxoprim;iclaprim","20169085;25288078",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100027","Escherichia coli 23b5be5c-7bb9-11e9-a8d3-68b59976a384","fig|562.100027.peg.2391",,,,,"S12p","SSU ribosomal protein S12p (S23e)","SSU ribosomal protein S12p (S23e)","antibiotic target in susceptible species","Aminoglycosides","streptomycin","7934937",,,,
"BLAT","Antibiotic Resistance","CARD","562.100013","Escherichia coli 8053517e-7bb9-11e9-a8d3-68b59976a384","fig|562.100013.peg.2678",,,"ACN32294.1","Escherichia coli","tolC","Outer membrane channel TolC (OpmH)",,"efflux pump conferring antibiotic resistance",,"erythromycin;cloxacillin;tetracycline;oxacillin;novobiocin;nalidixic acid;norfloxacin",,99,100,99,"1e-278"
"BLAT","Antibiotic Resistance","CARD","562.56805","Escherichia coli strain 468-16","fig|562.56805.peg.4055",,,"ANK04027.1","Escherichia coli O25b:H4","gadW","Transcriptional regulator GadW, AraC family",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-137"
"K-mer Search","Antibiotic Resistance","PATRIC","562.99939","Escherichia coli 61a9a52a-7bb9-11e9-a8d3-68b59976a384","fig|562.99939.peg.1244",,,,,"AcrAB-TolC","Transcriptional regulator of acrAB operon, AcrR","Transcriptional regulator of acrAB operon, AcrR","regulator modulating expression of antibiotic resistance genes","Cephalosporins, Penams, Tetracyclines, Glycylcyclines, Phenicol antibiotics, Rifamycins, Fluoroquinolones Quinolones Quinolines, Triclosan","tigecycline;chloramphenicol;rifampin;tetracycline;ampicillin;cefalothin�",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102070","Escherichia coli Map_168_003","fig|562.102070.peg.796",,,,,"MdfA/Cmr","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","efflux pump conferring antibiotic resistance","Multiple antibiotic resistance, Tetracyclines, Quaternary ammonium compounds","tetracycline;rhodamine;benzalkonium chloride","9079913",,,,
"BLAT","Antibiotic Resistance","CARD","562.99767","Escherichia coli 871b3784-7bb8-11e9-a8d3-68b59976a384","fig|562.99767.peg.38",,,"YP_489794.1","Escherichia coli str. K-12 substr. W3110","marA","Multiple antibiotic resistance protein MarA",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux,gene modulating permeability to antibiotic",,,,99,99,100,"1e-69"
"BLAT","Antibiotic Resistance","CARD","562.102042","Escherichia coli Map_88_019","fig|562.102042.peg.2787",,,"AAC74603.2","Escherichia coli str. K-12 substr. MG1655","marR","Multiple antibiotic resistance protein MarR",,"antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,98,"1e-76"
"BLAT","Antibiotic Resistance","CARD","562.102047","Escherichia coli Map_83_001","fig|562.102047.peg.1632",,,"AAL59753.1","Vibrio cholerae","sul2","Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein",,"",,"sulfadiazine;sulfadimidine;sulfadoxine;sulfamethoxazole;sulfisoxazole;sulfacetamide;mafenide;sulfasalazine;sulfamethizole",,100,100,100,"1e-148"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102211","Escherichia coli IBD_EPEC24","fig|562.102211.peg.2382","E4521_04850",,,,"AcrAD-TolC","Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)","Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)","efflux pump conferring antibiotic resistance","Aminoglycosides","amikacin;gentamicin C;tobramycin ","10692383",,,,
"BLAT","Antibiotic Resistance","CARD","562.99913","Escherichia coli d524b3fa-7bb9-11e9-a8d3-68b59976a384","fig|562.99913.peg.2013",,,"AAC74149.2","Escherichia coli str. K-12 substr. MG1655","mdtH","Multidrug resistance protein MdtH",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-233"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102165","Escherichia coli YZ21HCE14","fig|562.102165.peg.4651","MRY53_22410",,,,"MacB","Macrolide export ATP-binding/permease protein MacB","Macrolide export ATP-binding/permease protein MacB","efflux pump conferring antibiotic resistance","Macrolides","erythromycin","11544226",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","404399.7","Escherichia coli O26 strain NIID112664","fig|404399.7.peg.1997",,,,,,"DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic target in susceptible species","fluoroquinolones quinolones quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.102186","Escherichia coli CNTRL_EPEC48","fig|562.102186.peg.1805","E4496_18505",,"AAC74603.2","Escherichia coli str. K-12 substr. MG1655","marR","Multiple antibiotic resistance protein MarR",,"antibiotic resistant gene variant or mutant,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,98,"1e-76"
"BLAT","Antibiotic Resistance","CARD","562.102094","Escherichia coli Map_14_017","fig|562.102094.peg.4124",,,"EFF04178.1","Escherichia coli B185","emrD","Multidrug efflux pump EmrD (of MFS type)",,"efflux pump conferring antibiotic resistance",,,,90,100,98,"1e-204"
"BLAT","Antibiotic Resistance","CARD","562.101958","Escherichia coli MM2022_G1","fig|562.101958.peg.1031","MNY39_22480",,"AAA50993.1","Escherichia coli","tuf","Translation elongation factor Tu",,"antibiotic resistant gene variant or mutant,elfamycin resistance gene",,,,11,100,100,"8e-19"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102019","Escherichia coli Map_29_009","fig|562.102019.peg.244",,,,,"H-NS","DNA-binding protein H-NS","DNA-binding protein H-NS","regulator modulating expression of antibiotic resistance genes","Penams, Cephamycins, Cephalosporins, Fluoroquinolones Quinolones Quinolines, Macrolides, Tetracyclines","cloxacillin;oxacillin;ciprofloxacin;norfloxacin;erythromycin;tetracycline ","14973023",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.66596","Escherichia coli strain 1110b","fig|562.66596.peg.2366","GW663_21690",,,,"rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)","antibiotic target in susceptible species","Rifamycins, Peptide antibiotics","rifamycin;daptomycin;rifabutin;rifampin","3050121;15047531;16723576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.64236","Escherichia coli strain L39","fig|562.64236.peg.1422",,,,,"MdtABC-TolC","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)","efflux pump conferring antibiotic resistance","Aminocoumarin antibiotics","novobiocin","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99916","Escherichia coli c3292b82-7bb8-11e9-a8d3-68b59976a384","fig|562.99916.peg.2956",,,,,"MdtL","Multidrug efflux pump MdtL (of MFS type)","Multidrug efflux pump MdtL (of MFS type)","efflux pump conferring antibiotic resistance","Multiple antibiotic resistance",,"11566977",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102064","Escherichia coli Map_53_007","fig|562.102064.peg.2729",,,,,"MacA","Macrolide-specific efflux protein MacA","Macrolide-specific efflux protein MacA","efflux pump conferring antibiotic resistance","Macrolides","erythromycin","11544226",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102160","Escherichia coli YZ21HCE6","fig|562.102160.peg.2785","MRY30_13500",,,,"folP","Dihydropteroate synthase (EC 2.5.1.15)","Dihydropteroate synthase (EC 2.5.1.15)","antibiotic target in susceptible species","Sulfonamides","sulfadiazine;sulfadimidine;sulfadoxine;sulfamethoxazole;sulfisoxazole;sulfacetamide;mafenide;sulfasalazine;sulfamethizole;dapsone","15673783",,,,
"BLAT","Antibiotic Resistance","CARD","562.102176","Escherichia coli YZ21HCE3","fig|562.102176.peg.572","MRY52_02765",,"AAC75136.1","Escherichia coli str. K-12 substr. MG1655","mdtB","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)",,"efflux pump conferring antibiotic resistance",,"novobiocin",,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102098","Escherichia coli Map_47_004","fig|562.102098.peg.3354",,,,,"SugE","Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds","Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds","efflux pump conferring antibiotic resistance","Quaternary ammonium compounds","cetylpyridinium;cetyldimethylethyl ammonium;cetrimide","11948170",,,,
"BLAT","Antibiotic Resistance","CARD","562.99940","Escherichia coli 6ba5570e-7bb9-11e9-a8d3-68b59976a384","fig|562.99940.peg.1322",,,"AAC75291.1","Escherichia coli str. K-12 substr. MG1655","gyrA","DNA gyrase subunit A (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant,fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102195","Escherichia coli CNTRL_EPEC39","fig|562.102195.peg.2144","E4500_04450",,,,"gyrA","DNA gyrase subunit A (EC 5.99.1.3)","DNA gyrase subunit A (EC 5.99.1.3)","antibiotic target in susceptible species","Fluoroquinolones Quinolones Quinolines","clofazimine;ciprofloxacin;gatifloxacin;levofloxacin;moxifloxacin;nalidixic acid;ofloxacin;sparfloxacin;trovafloxacin","9293187",,,,
"BLAT","Antibiotic Resistance","CARD","562.102026","Escherichia coli Map_205_002","fig|562.102026.peg.641",,,"BAE77933.1","Escherichia coli str. K-12 substr. W3110","CRP","Cyclic AMP receptor protein",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,99,"1e-116"
"K-mer Search","Antibiotic Resistance","PATRIC","562.37083","Escherichia coli strain 86B","fig|562.37083.peg.3077","C3456_02525",,,,"AcrAB-TolC","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)","Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)","efflux pump conferring antibiotic resistance","Cephalosporins, Penams, Tetracyclines, Glycylcyclines, Phenicol antibiotics, Rifamycins, Fluoroquinolones Quinolones Quinolines, Triclosan","ciprofloxacin;tigecycline;chloramphenicol;rifampin;tetracycline;ampicillin;cefalothin�","7651136",,,,
"BLAT","Antibiotic Resistance","CARD","1308984.3","Escherichia coli HM69","fig|1308984.3.peg.1664",,"VBIEscCol294980_1664","BAE78082.1","Escherichia coli str. K-12 substr. W3110",,"Multidrug resistance outer membrane protein MdtP",,"efflux pump conferring antibiotic resistance",,,,100,100,98,"1e-272"
"BLAT","Antibiotic Resistance","CARD","562.102049","Escherichia coli Map_80_008","fig|562.102049.peg.1741",,,"BAE78084.1","Escherichia coli str. K-12 substr. W3110","mdtN","Inner membrane component MdtN of tripartite multidrug resistance system",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-189"
"BLAT","Antibiotic Resistance","CARD","562.102161","Escherichia coli YZ21HCE27","fig|562.102161.peg.3147","MRY29_15170",,"YP_492255.1","Escherichia coli str. K-12 substr. W3110","PmrB","Sensor protein BasS/PmrB (activates BasR/PmrA)",,"",,,,100,99,99,"1e-201"
"BLAT","Antibiotic Resistance","CARD","562.28592","Escherichia coli strain B17565","fig|562.28592.peg.1085","C6976_05820",,"AAC74149.2","Escherichia coli str. K-12 substr. MG1655","mdtH","Multidrug resistance protein MdtH",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-233"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102148","Escherichia coli EC_1144","fig|562.102148.peg.488","MRY39_06905",,,,"EmrAB-TolC","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","efflux pump conferring antibiotic resistance","Fluoroquinolones Quinolones Quinolines","nalidixic acid","1409590",,,,
"BLAT","Antibiotic Resistance","CARD","562.102206","Escherichia coli DIAR_EPEC29","fig|562.102206.peg.5291","E4515_10810",,"BAE77933.1","Escherichia coli str. K-12 substr. W3110","CRP","Cyclic AMP receptor protein",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,99,"1e-116"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100653","Escherichia coli 9f495bf6-7bb8-11e9-a8d3-68b59976a384","fig|562.100653.peg.3708",,,,,"EmrE","Small multidrug resistance (SMR) efflux transporter => EmrE, broad substrate specificity","Small multidrug resistance (SMR) efflux transporter => EmrE, broad substrate specificity","efflux pump conferring antibiotic resistance","Aminoglycosides, Macrolides","gentamicin C;erythromycin","23042996;7896833;2185131",,,,
"BLAT","Antibiotic Resistance","CARD","562.102132","Escherichia coli Ec-050-T5-MAC","fig|562.102132.peg.1839","LNN49_08825",,"BAA15934.1","Escherichia coli str. K-12 substr. W3110","baeS","Sensory histidine kinase BaeS",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-272"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102021","Escherichia coli Map_26_012","fig|562.102021.peg.1902",,,,,"GadE","Transcriptional activator GadE","Transcriptional activator GadE","regulator modulating expression of antibiotic resistance genes","Multiple antibiotic resistance",,"14702398;12940989",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.100012","Escherichia coli 898385e4-7bb8-11e9-a8d3-68b59976a384","fig|562.100012.peg.2658",,,,,"EF-Tu","Translation elongation factor Tu","Translation elongation factor Tu","antibiotic target in susceptible species","Elfamycins","kirromycin;enacyloxin IIa;pulvomycin","364475;9678602",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102186","Escherichia coli CNTRL_EPEC48","fig|562.102186.peg.3765","E4496_07680",,,,"EmrAB-TolC","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","efflux pump conferring antibiotic resistance","Fluoroquinolones Quinolones Quinolines","nalidixic acid","1409590",,,,
"BLAT","Antibiotic Resistance","CARD","562.100618","Escherichia coli c5b03b8e-7bb8-11e9-a8d3-68b59976a384","fig|562.100618.peg.3116",,,"EFF04178.1","Escherichia coli B185","emrD","Multidrug efflux pump EmrD (of MFS type)",,"efflux pump conferring antibiotic resistance",,,,99,100,99,"1e-227"
"BLAT","Antibiotic Resistance","CARD","562.102026","Escherichia coli Map_205_002","fig|562.102026.peg.3477",,,"AAC76298.1","Escherichia coli str. K-12 substr. MG1655","acrF","Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.101986","Escherichia coli ST167","fig|562.101986.peg.5005",,,"AHW42429.1","Klebsiella pneumoniae subsp. pneumoniae","dfrA12","Dihydrofolate reductase (EC 1.5.1.3)",,"antibiotic target replacement protein,trimethoprim resistance gene",,,,100,100,100,"1e-90"
"BLAT","Antibiotic Resistance","CARD","562.99902","Escherichia coli ad03c01e-7bb9-11e9-a8d3-68b59976a384","fig|562.99902.peg.466",,,"YP_490697.1","Escherichia coli str. K-12 substr. W3110","acrD","Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)",,"efflux pump conferring antibiotic resistance",,,,100,100,99,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.9982","Escherichia coli strain sheep34","fig|562.9982.peg.3868",,,"YP_491222.1","Escherichia coli str. K-12 substr. W3110",,"DNA topoisomerase IV subunit B (EC 5.99.1.3)",,"antibiotic resistant gene variant or mutant;fluoroquinolone resistance gene",,,,100,100,99,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100664","Escherichia coli 9f6e875a-7bb8-11e9-a8d3-68b59976a384","fig|562.100664.peg.1150",,,,,"EmrAB-TolC","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA","efflux pump conferring antibiotic resistance","Fluoroquinolones Quinolones Quinolines","nalidixic acid","1409590",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.54060","Escherichia coli strain Eco04551","fig|562.54060.peg.1073",,,,,"PgsA","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)","protein altering cell wall charge conferring antibiotic resistance","Peptide antibiotics","daptomycin","22238576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.99849","Escherichia coli f7dc3536-7bb8-11e9-a8d3-68b59976a384","fig|562.99849.peg.2956",,,,,"rho","Transcription termination factor Rho","Transcription termination factor Rho","antibiotic target in susceptible species","Bicyclomycins","bicyclomycin","8466900",,,,
"BLAT","Antibiotic Resistance","CARD","562.47363","Escherichia coli strain NS-NP035","fig|562.47363.peg.4915","BvCmsNSNP035_04663",,"AAC76297.1","Escherichia coli str. K-12 substr. MG1655","acrE","Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-216"
"K-mer Search","Antibiotic Resistance","PATRIC","562.39052","Escherichia coli strain PNUSAE019107","fig|562.39052.peg.3811","D8Y71_18435",,,,"MdtABC-TolC","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)","Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)","efflux pump conferring antibiotic resistance","Aminocoumarin antibiotics","novobiocin","12107134",,,,
"BLAT","Antibiotic Resistance","CARD","562.102154","Escherichia coli YZ21HCE26","fig|562.102154.peg.3112","MRY24_15040",,"YP_489321.1","Escherichia coli str. K-12 substr. W3110","mdtG","Multidrug resistance protein MdtG",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-232"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102133","Escherichia coli Ec-050-T20-MAC","fig|562.102133.peg.4583","LNN46_21925",,,,"KatG","Catalase-peroxidase KatG (EC 1.11.1.21)","Catalase-peroxidase KatG (EC 1.11.1.21)","antibiotic activation enzyme","Isoniazid","isoniazid","14638486",,,,
"BLAT","Antibiotic Resistance","CARD","562.100023","Escherichia coli ef72b1ae-7bb8-11e9-a8d3-68b59976a384","fig|562.100023.peg.1486",,,"BAE78083.1","Escherichia coli str. K-12 substr. W3110","mdtO","Membrane fusion component MdtO of tripartite multidrug resistance system",,"efflux pump conferring antibiotic resistance",,,,100,100,98,"0.0"
"K-mer Search","Antibiotic Resistance","PATRIC","562.100021","Escherichia coli ea3e4f9a-7bb8-11e9-a8d3-68b59976a384","fig|562.100021.peg.2415",,,,,"SugE","Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds","Small multidrug resistance (SMR) efflux transporter => SugE, quaternary ammonium compounds","efflux pump conferring antibiotic resistance","Quaternary ammonium compounds","cetylpyridinium;cetyldimethylethyl ammonium;cetrimide","11948170",,,,
"BLAT","Antibiotic Resistance","CARD","562.102329","Escherichia coli A150026","fig|562.102329.peg.4233",,,"NP_312865.1","Escherichia coli O157:H7 str. Sakai","cpxR","Copper-sensing two-component system response regulator CpxR",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"1e-129"
"BLAT","Antibiotic Resistance","CARD","562.100642","Escherichia coli 26fc004e-7bb9-11e9-a8d3-68b59976a384","fig|562.100642.peg.3438",,,"NP_417969.1","Escherichia coli str. K-12 substr. MG1655","gadE","Transcriptional activator GadE",,"antibiotic resistance gene cluster, cassette, or operon,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"8e-96"
"BLAT","Antibiotic Resistance","CARD","562.13694","Escherichia coli strain 497","fig|562.13694.peg.2697","BK352_14310",,"NP_312865.1","Escherichia coli O157:H7 str. Sakai",,"Copper-sensing two-component system response regulator CpxR",,"efflux pump conferring antibiotic resistance;gene modulating antibiotic efflux",,,,100,100,100,"1e-129"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102161","Escherichia coli YZ21HCE27","fig|562.102161.peg.4294","MRY29_20700",,,,"AcrZ","AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump","AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump","efflux pump conferring antibiotic resistance","Cephalosporins, Penams, Tetracyclines, Glycylcyclines, Phenicol antibiotics, Rifamycins, Fluoroquinolones Quinolones Quinolines, Triclosan","ciprofloxacin;tigecycline;chloramphenicol;rifampin;tetracycline;ampicillin;cefalothin�","23010927",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.102086","Escherichia coli Map_194_001","fig|562.102086.peg.2173",,,,,"Alr","Alanine racemase (EC 5.1.1.1)","Alanine racemase (EC 5.1.1.1)","antibiotic target in susceptible species","Cycloserine","D-cycloserine","19748470;24303782",,,,
"BLAT","Antibiotic Resistance","CARD","562.102004","Escherichia coli B604_004","fig|562.102004.peg.1817",,,"AAC75315.1","Escherichia coli str. K-12 substr. MG1655","arnA","UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) / UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating) (EC 1.1.1.305)",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,"colistin",,65,100,98,"1e-253"
"BLAT","Antibiotic Resistance","CARD","562.100675","Escherichia coli 8088347a-7bb9-11e9-a8d3-68b59976a384","fig|562.100675.peg.3178",,,"BAE78083.1","Escherichia coli str. K-12 substr. W3110","mdtO","Membrane fusion component MdtO of tripartite multidrug resistance system",,"efflux pump conferring antibiotic resistance",,,,100,100,97,"0.0"
"BLAT","Antibiotic Resistance","CARD","562.102073","Escherichia coli Map_15_022","fig|562.102073.peg.1581",,,"NP_417969.1","Escherichia coli str. K-12 substr. MG1655","gadE","Transcriptional activator GadE",,"antibiotic resistance gene cluster, cassette, or operon,efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"8e-96"
"BLAT","Antibiotic Resistance","CARD","562.99920","Escherichia coli 585745f4-7bb9-11e9-a8d3-68b59976a384","fig|562.99920.peg.2877",,,"NP_417169.1","Escherichia coli str. K-12 substr. MG1655","emrR","Multidrug resistance regulator EmrR (MprA)",,"efflux pump conferring antibiotic resistance,gene modulating antibiotic efflux",,,,100,100,100,"2e-97"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102269","Escherichia coli Gb685","fig|562.102269.peg.3043","K9T97_01560",,,,"KatG","Catalase-peroxidase KatG (EC 1.11.1.21)","Catalase-peroxidase KatG (EC 1.11.1.21)","antibiotic activation enzyme","Isoniazid","isoniazid","14638486",,,,
"BLAT","Antibiotic Resistance","CARD","562.102034","Escherichia coli Map_56_018","fig|562.102034.peg.2906",,,"YP_489201.1","Escherichia coli str. K-12 substr. W3110","ompF","Outer membrane porin OmpF",,"antibiotic resistant gene variant or mutant,beta-lactam resistance gene,gene modulating permeability to antibiotic",,,,29,100,99,"2e-57"
"BLAT","Antibiotic Resistance","CARD","562.100642","Escherichia coli 26fc004e-7bb9-11e9-a8d3-68b59976a384","fig|562.100642.peg.676",,,"AAC74149.2","Escherichia coli str. K-12 substr. MG1655","mdtH","Multidrug resistance protein MdtH",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"1e-233"
"BLAT","Antibiotic Resistance","CARD","562.100655","Escherichia coli 9390eaea-7bb8-11e9-a8d3-68b59976a384","fig|562.100655.peg.5039",,,"CAG27791.1","uncultured bacterium","mphA","Macrolide 2'-phosphotransferase => Mph(A) family",,"antibiotic inactivation enzyme,macrolide resistance gene",,"erythromycin;roxithromycin;telithromycin;clarithromycin;azithromycin;dirithromycin;oleandomycin",,100,100,100,"1e-172"
"K-mer Search","Antibiotic Resistance","PATRIC","562.102175","Escherichia coli YZ21HCE28","fig|562.102175.peg.3138","MRY36_15155",,,,"kasA","3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)","3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)","antibiotic target in susceptible species","Isoniazid, Triclosan","isoniazid;triclosan","10428945",,,,
"BLAT","Antibiotic Resistance","CARD","562.102213","Escherichia coli IBD_EPEC23","fig|562.102213.peg.4102","E4523_10705",,"AAC75314.1","Escherichia coli str. K-12 substr. MG1655","PmrF","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)",,"gene altering cell wall charge conferring antibiotic resistance,polymyxin resistance gene",,"colistin",,100,100,99,"1e-183"
"BLAT","Antibiotic Resistance","CARD","562.99950","Escherichia coli 6da3c248-7bb9-11e9-a8d3-68b59976a384","fig|562.99950.peg.2298",,,"NP_417177.1","Escherichia coli str. K-12 substr. MG1655","alaS","Alanyl-tRNA synthetase (EC 6.1.1.7)",,"aminocoumarin resistance gene",,,,100,100,99,"0.0"
